2024-03-02 15:46:38,655 WARN [restartedMain] o.s.b.a.s.s.UserDetailsServiceAutoConfiguration [UserDetailsServiceAutoConfiguration.java:87] 

Using generated security password: 4bc005f9-acf5-44e5-87f5-05a0c107c7cd

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2024-03-02 15:46:39,346 WARN [restartedMain] o.s.s.c.a.w.b.WebSecurity [WebSecurity.java:289] You are asking Spring Security to ignore Mvc [pattern='/resources/static/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2024-03-02 15:46:39,347 WARN [restartedMain] o.s.s.c.a.w.b.WebSecurity [WebSecurity.java:289] You are asking Spring Security to ignore Mvc [pattern='/resources/templates/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2024-03-02 15:46:51,012 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:1065] [Consumer clientId=consumer-community-consumer-group-1, groupId=community-consumer-group] Bootstrap broker 39.101.75.202:8892 (id: -1 rack: null) disconnected
2024-03-02 15:46:53,846 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:775] [Consumer clientId=consumer-community-consumer-group-1, groupId=community-consumer-group] Connection to node -1 (/39.101.75.202:8892) could not be established. Broker may not be available.
2024-03-02 15:46:53,846 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:775] [Consumer clientId=consumer-community-consumer-group-2, groupId=community-consumer-group] Connection to node -1 (/39.101.75.202:8892) could not be established. Broker may not be available.
2024-03-02 15:46:53,847 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:1065] [Consumer clientId=consumer-community-consumer-group-2, groupId=community-consumer-group] Bootstrap broker 39.101.75.202:8892 (id: -1 rack: null) disconnected
2024-03-02 15:46:53,847 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:1065] [Consumer clientId=consumer-community-consumer-group-1, groupId=community-consumer-group] Bootstrap broker 39.101.75.202:8892 (id: -1 rack: null) disconnected
2024-03-02 15:46:57,259 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:775] [Consumer clientId=consumer-community-consumer-group-2, groupId=community-consumer-group] Connection to node -1 (/39.101.75.202:8892) could not be established. Broker may not be available.
2024-03-02 15:46:57,259 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:775] [Consumer clientId=consumer-community-consumer-group-1, groupId=community-consumer-group] Connection to node -1 (/39.101.75.202:8892) could not be established. Broker may not be available.
2024-03-02 15:46:57,260 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:1065] [Consumer clientId=consumer-community-consumer-group-2, groupId=community-consumer-group] Bootstrap broker 39.101.75.202:8892 (id: -1 rack: null) disconnected
2024-03-02 15:46:57,260 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:1065] [Consumer clientId=consumer-community-consumer-group-1, groupId=community-consumer-group] Bootstrap broker 39.101.75.202:8892 (id: -1 rack: null) disconnected
2024-03-02 15:47:00,946 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:775] [Consumer clientId=consumer-community-consumer-group-1, groupId=community-consumer-group] Connection to node -1 (/39.101.75.202:8892) could not be established. Broker may not be available.
2024-03-02 15:47:00,946 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:775] [Consumer clientId=consumer-community-consumer-group-2, groupId=community-consumer-group] Connection to node -1 (/39.101.75.202:8892) could not be established. Broker may not be available.
2024-03-02 15:47:00,946 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:1065] [Consumer clientId=consumer-community-consumer-group-1, groupId=community-consumer-group] Bootstrap broker 39.101.75.202:8892 (id: -1 rack: null) disconnected
2024-03-02 15:47:00,946 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:1065] [Consumer clientId=consumer-community-consumer-group-2, groupId=community-consumer-group] Bootstrap broker 39.101.75.202:8892 (id: -1 rack: null) disconnected
2024-03-02 15:47:04,632 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:775] [Consumer clientId=consumer-community-consumer-group-1, groupId=community-consumer-group] Connection to node -1 (/39.101.75.202:8892) could not be established. Broker may not be available.
2024-03-02 15:47:04,632 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:1065] [Consumer clientId=consumer-community-consumer-group-1, groupId=community-consumer-group] Bootstrap broker 39.101.75.202:8892 (id: -1 rack: null) disconnected
2024-03-02 15:47:08,214 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:775] [Consumer clientId=consumer-community-consumer-group-1, groupId=community-consumer-group] Connection to node -1 (/39.101.75.202:8892) could not be established. Broker may not be available.
2024-03-02 15:47:08,214 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:1065] [Consumer clientId=consumer-community-consumer-group-1, groupId=community-consumer-group] Bootstrap broker 39.101.75.202:8892 (id: -1 rack: null) disconnected
2024-03-02 15:47:10,521 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:775] [Consumer clientId=consumer-community-consumer-group-2, groupId=community-consumer-group] Connection to node -1 (/39.101.75.202:8892) could not be established. Broker may not be available.
2024-03-02 15:47:10,521 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:1065] [Consumer clientId=consumer-community-consumer-group-2, groupId=community-consumer-group] Bootstrap broker 39.101.75.202:8892 (id: -1 rack: null) disconnected
2024-03-02 15:47:11,635 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:775] [Consumer clientId=consumer-community-consumer-group-1, groupId=community-consumer-group] Connection to node -1 (/39.101.75.202:8892) could not be established. Broker may not be available.
2024-03-02 15:47:11,635 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:1065] [Consumer clientId=consumer-community-consumer-group-1, groupId=community-consumer-group] Bootstrap broker 39.101.75.202:8892 (id: -1 rack: null) disconnected
2024-03-02 15:47:14,052 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:775] [Consumer clientId=consumer-community-consumer-group-2, groupId=community-consumer-group] Connection to node -1 (/39.101.75.202:8892) could not be established. Broker may not be available.
2024-03-02 15:47:14,052 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:1065] [Consumer clientId=consumer-community-consumer-group-2, groupId=community-consumer-group] Bootstrap broker 39.101.75.202:8892 (id: -1 rack: null) disconnected
2024-03-02 15:47:15,074 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:775] [Consumer clientId=consumer-community-consumer-group-1, groupId=community-consumer-group] Connection to node -1 (/39.101.75.202:8892) could not be established. Broker may not be available.
2024-03-02 15:47:15,074 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:1065] [Consumer clientId=consumer-community-consumer-group-1, groupId=community-consumer-group] Bootstrap broker 39.101.75.202:8892 (id: -1 rack: null) disconnected
2024-03-02 15:47:17,680 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:775] [Consumer clientId=consumer-community-consumer-group-2, groupId=community-consumer-group] Connection to node -1 (/39.101.75.202:8892) could not be established. Broker may not be available.
2024-03-02 15:47:17,680 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:1065] [Consumer clientId=consumer-community-consumer-group-2, groupId=community-consumer-group] Bootstrap broker 39.101.75.202:8892 (id: -1 rack: null) disconnected
2024-03-02 15:47:18,762 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:775] [Consumer clientId=consumer-community-consumer-group-1, groupId=community-consumer-group] Connection to node -1 (/39.101.75.202:8892) could not be established. Broker may not be available.
2024-03-02 15:47:18,762 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:1065] [Consumer clientId=consumer-community-consumer-group-1, groupId=community-consumer-group] Bootstrap broker 39.101.75.202:8892 (id: -1 rack: null) disconnected
2024-03-02 15:47:21,419 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:775] [Consumer clientId=consumer-community-consumer-group-2, groupId=community-consumer-group] Connection to node -1 (/39.101.75.202:8892) could not be established. Broker may not be available.
2024-03-02 15:47:21,419 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:1065] [Consumer clientId=consumer-community-consumer-group-2, groupId=community-consumer-group] Bootstrap broker 39.101.75.202:8892 (id: -1 rack: null) disconnected
2024-03-02 15:47:22,234 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:775] [Consumer clientId=consumer-community-consumer-group-1, groupId=community-consumer-group] Connection to node -1 (/39.101.75.202:8892) could not be established. Broker may not be available.
2024-03-02 15:47:22,234 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:1065] [Consumer clientId=consumer-community-consumer-group-1, groupId=community-consumer-group] Bootstrap broker 39.101.75.202:8892 (id: -1 rack: null) disconnected
2024-03-02 15:47:24,792 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:775] [Consumer clientId=consumer-community-consumer-group-2, groupId=community-consumer-group] Connection to node -1 (/39.101.75.202:8892) could not be established. Broker may not be available.
2024-03-02 15:47:24,792 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:1065] [Consumer clientId=consumer-community-consumer-group-2, groupId=community-consumer-group] Bootstrap broker 39.101.75.202:8892 (id: -1 rack: null) disconnected
2024-03-02 15:47:25,748 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:775] [Consumer clientId=consumer-community-consumer-group-1, groupId=community-consumer-group] Connection to node -1 (/39.101.75.202:8892) could not be established. Broker may not be available.
2024-03-02 15:47:25,748 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:1065] [Consumer clientId=consumer-community-consumer-group-1, groupId=community-consumer-group] Bootstrap broker 39.101.75.202:8892 (id: -1 rack: null) disconnected
2024-03-02 15:47:28,181 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:775] [Consumer clientId=consumer-community-consumer-group-2, groupId=community-consumer-group] Connection to node -1 (/39.101.75.202:8892) could not be established. Broker may not be available.
2024-03-02 15:47:28,181 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:1065] [Consumer clientId=consumer-community-consumer-group-2, groupId=community-consumer-group] Bootstrap broker 39.101.75.202:8892 (id: -1 rack: null) disconnected
2024-03-02 15:47:29,344 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:775] [Consumer clientId=consumer-community-consumer-group-1, groupId=community-consumer-group] Connection to node -1 (/39.101.75.202:8892) could not be established. Broker may not be available.
2024-03-02 15:47:29,344 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:1065] [Consumer clientId=consumer-community-consumer-group-1, groupId=community-consumer-group] Bootstrap broker 39.101.75.202:8892 (id: -1 rack: null) disconnected
2024-03-02 15:47:31,653 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:775] [Consumer clientId=consumer-community-consumer-group-2, groupId=community-consumer-group] Connection to node -1 (/39.101.75.202:8892) could not be established. Broker may not be available.
2024-03-02 15:47:31,653 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:1065] [Consumer clientId=consumer-community-consumer-group-2, groupId=community-consumer-group] Bootstrap broker 39.101.75.202:8892 (id: -1 rack: null) disconnected
2024-03-02 15:47:32,895 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:775] [Consumer clientId=consumer-community-consumer-group-1, groupId=community-consumer-group] Connection to node -1 (/39.101.75.202:8892) could not be established. Broker may not be available.
2024-03-02 15:47:32,895 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:1065] [Consumer clientId=consumer-community-consumer-group-1, groupId=community-consumer-group] Bootstrap broker 39.101.75.202:8892 (id: -1 rack: null) disconnected
2024-03-02 15:47:35,141 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:775] [Consumer clientId=consumer-community-consumer-group-2, groupId=community-consumer-group] Connection to node -1 (/39.101.75.202:8892) could not be established. Broker may not be available.
2024-03-02 15:47:35,141 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:1065] [Consumer clientId=consumer-community-consumer-group-2, groupId=community-consumer-group] Bootstrap broker 39.101.75.202:8892 (id: -1 rack: null) disconnected
2024-03-02 15:47:36,334 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:775] [Consumer clientId=consumer-community-consumer-group-1, groupId=community-consumer-group] Connection to node -1 (/39.101.75.202:8892) could not be established. Broker may not be available.
2024-03-02 15:47:36,334 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:1065] [Consumer clientId=consumer-community-consumer-group-1, groupId=community-consumer-group] Bootstrap broker 39.101.75.202:8892 (id: -1 rack: null) disconnected
2024-03-02 15:47:38,733 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:775] [Consumer clientId=consumer-community-consumer-group-2, groupId=community-consumer-group] Connection to node -1 (/39.101.75.202:8892) could not be established. Broker may not be available.
2024-03-02 15:47:38,733 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:1065] [Consumer clientId=consumer-community-consumer-group-2, groupId=community-consumer-group] Bootstrap broker 39.101.75.202:8892 (id: -1 rack: null) disconnected
2024-03-02 15:47:39,886 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:775] [Consumer clientId=consumer-community-consumer-group-1, groupId=community-consumer-group] Connection to node -1 (/39.101.75.202:8892) could not be established. Broker may not be available.
2024-03-02 15:47:39,886 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:1065] [Consumer clientId=consumer-community-consumer-group-1, groupId=community-consumer-group] Bootstrap broker 39.101.75.202:8892 (id: -1 rack: null) disconnected
2024-03-02 15:47:42,215 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:775] [Consumer clientId=consumer-community-consumer-group-2, groupId=community-consumer-group] Connection to node -1 (/39.101.75.202:8892) could not be established. Broker may not be available.
2024-03-02 15:47:42,215 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:1065] [Consumer clientId=consumer-community-consumer-group-2, groupId=community-consumer-group] Bootstrap broker 39.101.75.202:8892 (id: -1 rack: null) disconnected
2024-03-02 15:47:43,443 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:775] [Consumer clientId=consumer-community-consumer-group-1, groupId=community-consumer-group] Connection to node -1 (/39.101.75.202:8892) could not be established. Broker may not be available.
2024-03-02 15:47:43,444 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:1065] [Consumer clientId=consumer-community-consumer-group-1, groupId=community-consumer-group] Bootstrap broker 39.101.75.202:8892 (id: -1 rack: null) disconnected
2024-03-02 15:47:45,258 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:775] [Consumer clientId=consumer-community-consumer-group-2, groupId=community-consumer-group] Connection to node -1 (/39.101.75.202:8892) could not be established. Broker may not be available.
2024-03-02 15:47:45,258 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:1065] [Consumer clientId=consumer-community-consumer-group-2, groupId=community-consumer-group] Bootstrap broker 39.101.75.202:8892 (id: -1 rack: null) disconnected
2024-03-02 15:47:47,025 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:775] [Consumer clientId=consumer-community-consumer-group-1, groupId=community-consumer-group] Connection to node -1 (/39.101.75.202:8892) could not be established. Broker may not be available.
2024-03-02 15:47:47,026 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:1065] [Consumer clientId=consumer-community-consumer-group-1, groupId=community-consumer-group] Bootstrap broker 39.101.75.202:8892 (id: -1 rack: null) disconnected
2024-03-02 15:47:48,974 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:775] [Consumer clientId=consumer-community-consumer-group-2, groupId=community-consumer-group] Connection to node -1 (/39.101.75.202:8892) could not be established. Broker may not be available.
2024-03-02 15:47:48,974 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:1065] [Consumer clientId=consumer-community-consumer-group-2, groupId=community-consumer-group] Bootstrap broker 39.101.75.202:8892 (id: -1 rack: null) disconnected
2024-03-02 15:47:50,714 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:775] [Consumer clientId=consumer-community-consumer-group-1, groupId=community-consumer-group] Connection to node -1 (/39.101.75.202:8892) could not be established. Broker may not be available.
2024-03-02 15:47:50,715 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:1065] [Consumer clientId=consumer-community-consumer-group-1, groupId=community-consumer-group] Bootstrap broker 39.101.75.202:8892 (id: -1 rack: null) disconnected
2024-03-02 15:47:52,455 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:775] [Consumer clientId=consumer-community-consumer-group-2, groupId=community-consumer-group] Connection to node -1 (/39.101.75.202:8892) could not be established. Broker may not be available.
2024-03-02 15:47:52,455 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:1065] [Consumer clientId=consumer-community-consumer-group-2, groupId=community-consumer-group] Bootstrap broker 39.101.75.202:8892 (id: -1 rack: null) disconnected
2024-03-02 15:47:54,401 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:775] [Consumer clientId=consumer-community-consumer-group-1, groupId=community-consumer-group] Connection to node -1 (/39.101.75.202:8892) could not be established. Broker may not be available.
2024-03-02 15:47:54,402 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:1065] [Consumer clientId=consumer-community-consumer-group-1, groupId=community-consumer-group] Bootstrap broker 39.101.75.202:8892 (id: -1 rack: null) disconnected
2024-03-02 15:47:55,937 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:775] [Consumer clientId=consumer-community-consumer-group-2, groupId=community-consumer-group] Connection to node -1 (/39.101.75.202:8892) could not be established. Broker may not be available.
2024-03-02 15:47:55,937 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:1065] [Consumer clientId=consumer-community-consumer-group-2, groupId=community-consumer-group] Bootstrap broker 39.101.75.202:8892 (id: -1 rack: null) disconnected
2024-03-02 15:47:58,189 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:775] [Consumer clientId=consumer-community-consumer-group-1, groupId=community-consumer-group] Connection to node -1 (/39.101.75.202:8892) could not be established. Broker may not be available.
2024-03-02 15:47:58,189 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:1065] [Consumer clientId=consumer-community-consumer-group-1, groupId=community-consumer-group] Bootstrap broker 39.101.75.202:8892 (id: -1 rack: null) disconnected
